plant,a,ci,,,,,,,,,,,,
Pilo,-0.362403928,55.30908574,,,,,,,,,,,,
Pilo,1.053156649,77.7373094,,,,,,,,,,,,
Pilo,4.013212578,120.8086797,,,,,,,,,,,,
Pilo,11.52986848,173.6941881,,,,,,,,,,,,
Pilo,6.712401267,173.99209,,,,,,,,,,,,
Pilo,9.660273854,208.6286149,,,,,,,,,,,,
Pilo,8.51232506,214.154154,,,,,,,,,,,,
Pilo,9.407477142,230.337343,,,,,,,,,,,,
Pilo,15.31530888,264.7641992,,,,,,,,,,,,
Pilo,19.17717981,418.8793504,,,,,,,,,,,,
Pilo,21.55888125,543.2650055,,,,,,,,,,,,
Pilo,23.66533337,699.8574655,,,,,,,,,,,,
Pilo,29.66703972,972.0735913,,,,,,,,,,,,
Pilo,28.39786058,1379.492034,,,,,,,,,,,,
Pilo,30.99251758,1702.631834,,,,,,,,,,,,
Pilo,31.76855166,2030.396751,,,,,,,,,,,,
hosta,1.289049203,12.32920601,,,,,,,,,,,,
hosta,1.380548435,75.04982939,,,,,,,,,,,,
hosta,1.782689121,93.76436563,,,,,,,,,,,,
hosta,1.151592331,64.6858043,,,,,,,,,,,,
hosta,0.110793143,46.2317378,,,,,,,,,,,,
hosta,11.49347402,197.9314631,,,,,,,,,,,,
hosta,12.49493266,200.1158488,,,,,,,,,,,,
hosta,19.20331843,318.9500563,,,,,,,,,,,,
hosta,22.44837972,471.227715,,,,,,,,,,,,
hosta,23.17227796,648.2167569,,,,,,,,,,,,
hosta,23.8941779,827.8085397,,,,,,,,,,,,
hosta,24.85919432,981.0209524,,,,,,,,,,,,
hosta,25.1861906,1168.837721,,,,,,,,,,,,
hosta,24.88193905,1553.15681,,,,,,,,,,,,
lily,-0.271347714,52.29111957,,,,,,,,,,,,
lily,0.814018369,77.58146739,,,,,,,,,,,,
lily,3.475011279,114.1385147,,,,,,,,,,,,
lily,6.193314385,148.9811131,,,,,,,,,,,,
lily,12.05385788,188.3394284,,,,,,,,,,,,
lily,12.38013617,195.6110648,,,,,,,,,,,,
lily,12.72867909,196.5528478,,,,,,,,,,,,
lily,19.53037211,280.4589492,,,,,,,,,,,,
lily,24.31329863,401.7029605,,,,,,,,,,,,
lily,27.74747045,526.1650063,,,,,,,,,,,,
lily,29.92718674,647.2749718,,,,,,,,,,,,
lily,31.42983239,790.2130475,,,,,,,,,,,,
lily,32.46847771,932.0940275,,,,,,,,,,,,
lily,34.65560013,1225.836362,,,,,,,,,,,,
PIAL,-0.355066952,57.88595926,,,,,,,,,,,,
PIAL,0.81247297,76.1787211,,,,,,,,,,,,
PIAL,3.021143644,111.5848207,,,,,,,,,,,,
PIAL,5.332329602,141.8099426,,,,,,,,,,,,
PIAL,9.375471365,143.8425423,,,,,,,,,,,,
PIAL,8.8532589,179.8793458,,,,,,,,,,,,
PIAL,7.454069943,188.4733838,,,,,,,,,,,,
PIAL,7.727727884,223.3101437,,,,,,,,,,,,
PIAL,13.97290042,258.514242,,,,,,,,,,,,
PIAL,18.36557602,372.7149567,,,,,,,,,,,,
PIAL,20.97931526,481.9056802,,,,,,,,,,,,
PIAL,23.43953989,641.3558193,,,,,,,,,,,,
PIAL,25.62125028,960.6990537,,,,,,,,,,,,
PIAL,28.13066966,1314.792307,,,,,,,,,,,,
PIAL,32.07343599,1650.350582,,,,,,,,,,,,
PIAL,34.04497506,1972.906938,,,,,,,,,,,,
PIFL,-0.823637582,72.56104328,,,,,,,,,,,,
PIFL,0.445051303,84.82439481,,,,,,,,,,,,
PIFL,2.885268656,113.5989,,,,,,,,,,,,
PIFL,8.87532327,146.9783793,,,,,,,,,,,,
PIFL,5.319850206,153.878815,,,,,,,,,,,,
PIFL,8.099451927,156.2436443,,,,,,,,,,,,
PIFL,8.382456208,169.6019923,,,,,,,,,,,,
PIFL,6.964541152,183.9383073,,,,,,,,,,,,
PIFL,12.92822569,247.7691836,,,,,,,,,,,,
PIFL,17.04518464,284.3571737,,,,,,,,,,,,
PIFL,20.15744327,421.3110474,,,,,,,,,,,,
PIFL,22.43720599,511.5596098,,,,,,,,,,,,
PIFL,24.76984864,888.1560903,,,,,,,,,,,,
PIFL,27.20427508,1200.877102,,,,,,,,,,,,
PIFL,29.09723884,1560.056602,,,,,,,,,,,,
PIFL,31.83756482,1651.591545,,,,,,,,,,,,
